"Id","Algorithms","Query","Answer","Audio URL","Comment","ContextFlow","Date & Time","Feedback","Input Type","Intent","Language","Location","Source","User Type"
"25577557","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:59 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577527","Direct Match","rgi.insuredcheck","Are you saying 9552940452, Please say yes or no to confirm","","","1","January 7, 2024 11:55 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577520","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 7, 2024 11:54 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577519","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 11:54 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577517","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 11:54 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577516","Direct Match","rgi.register","Do you want to register the claim for motor policy or health policy?","","","1","January 7, 2024 11:53 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577515","Direct Match","start","Welcome to RGI, your virtual assistant! I can help you with claim intimation and claim status. How may I assist you today?","","","1","January 7, 2024 11:53 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577513","Direct Match","rgi.mobile no","Please provide your 10 digits registered mobile number attached to the policy","","","1","January 7, 2024 11:53 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577509","Direct Match","rgi.workshop","I am sorry to hear about your vehicle incident. I will need few details to register your claim.Is your vehicle reported to workshop?","","","1","January 7, 2024 11:53 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
"25577508","Direct Match","rgi.register claim","Is this for theft claim or accidental claim?","","","1","January 7, 2024 11:53 PM","","TEXT","Direct Match","en","New Delhi","Desktop","New Visitor"
